date,crypto_7_index,nasdaq_10_index,crypto_7_ma8,crypto_7_ma21,nasdaq_10_ma8,nasdaq_10_ma21,crypto_7_return,nasdaq_10_return,year,month,year_month
2024-02-03,2031.4653134772948,2805.329209009388,2033.6506501475835,2026.3977080130196,2755.4473526515458,2697.437687732644,-0.00920915978167236,0.0,2024,2,2024-02
2024-02-04,2006.5700199052017,2805.329209009388,2034.606915928225,2023.8633228563265,2755.4473526515458,2697.437687732644,-0.0122548455082796,0.0,2024,2,2024-02
2024-02-05,2006.7794950771568,2798.762127413423,2034.6941275538304,2019.332810436637,2754.6396127845364,2709.965364274939,0.00010439464851819125,-0.0023409308165596165,2024,2,2024-02
2024-02-06,2031.7278893241776,2789.4495077326733,2028.3766436679127,2014.7868963129097,2754.71280156689,2721.4016203512483,0.012432055593662339,-0.0033274066379326284,2024,2,2024-02
2024-02-07,2077.117014511343,2829.903637682811,2030.5054678207568,2013.176999403302,2765.582394250683,2731.204019815173,0.022340159538914994,0.014502549638555795,2024,2,2024-02
2024-02-08,2117.97061167148,2829.2333192209003,2044.074092671744,2017.0337426659244,2772.38435841919,2740.464585642481,0.019668413899998072,-0.0002368697128004582,2024,2,2024-02
2024-02-09,2176.361265241256,2879.4394495028064,2062.292362310004,2023.6378863228945,2789.6678046833445,2751.072763415424,0.027569151926850832,0.017745489543340875,2024,2,2024-02
2024-02-10,2194.258947286317,2879.4394495028064,2080.281319561778,2029.1671062741275,2789.6678046833445,2751.072763415424,0.00822367238881938,0.0,2024,2,2024-02
2024-02-11,2179.9329529490265,2879.4394495028064,2098.8397744957447,2035.2817729861256,2789.6678046833445,2751.072763415424,-0.006528853103234589,0.0,2024,2,2024-02
2024-02-12,2255.442150747633,2867.5944024658274,2129.948790851049,2050.627606998133,2812.894070820581,2761.299905538335,0.034638312016182615,-0.004113664219966173,2024,2,2024-02
2024-02-13,2237.959582436157,2823.260577622138,2158.846301770924,2065.9893678250564,2827.871528831245,2769.7426342283043,-0.007751282073752752,-0.015460284343408848,2024,2,2024-02
2024-02-14,2338.829341806107,2878.171626396784,2197.2339833311653,2085.3154865481138,2836.9768310046707,2779.709077518888,0.04507219887329117,0.019449514936695778,2024,2,2024-02
2024-02-15,2378.710310908193,2886.8044572560907,2234.9331453807717,2107.5096237383787,2847.982122235004,2791.002035287705,0.017051679825125232,0.0029994148994214598,2024,2,2024-02
2024-02-16,2365.918632009642,2855.91901958375,2265.9266479230414,2125.561115002589,2856.2908112163886,2798.730514131444,-0.005377569029692997,-0.010698832612201725,2024,2,2024-02
2024-02-17,2346.5976589976804,2855.91901958375,2287.206197142594,2142.117199066284,2856.2908112163886,2798.730514131444,-0.008166372566900226,0.0,2024,2,2024-02
2024-02-18,2385.806141766301,2855.91901958375,2311.1495964525925,2160.199310480284,2856.2908112163886,2798.730514131444,0.016708651616642367,0.0,2024,2,2024-02
2024-02-19,2423.0040059910325,2855.91901958375,2341.5334780828434,2176.42484598407,2856.2908112163886,2798.730514131444,0.015591318830788348,0.0,2024,2,2024-02
2024-02-20,2397.6844605284323,2820.5788378894863,2359.3137668054437,2192.500943090729,2855.1252112422226,2801.3163864515795,-0.010449650681549016,-0.012374364067022636,2024,2,2024-02
2024-02-21,2371.3194801898358,2809.298749140916,2375.983754024653,2209.7341748681697,2852.633389982225,2803.949949693799,-0.010996017521332169,-0.003999210586508872,2024,2,2024-02
2024-02-22,2351.3239670076227,2924.7770714008075,2377.5455821748424,2225.006025290668,2858.300592719475,2811.2748383105136,-0.008432230810422991,0.0411057465124367,2024,2,2024-02
2024-02-23,2333.911118438976,2904.8327093178627,2371.94568311619,2238.509064774803,2862.955381075979,2816.018107975674,-0.007405550580427689,-0.006819105044950424,2024,2,2024-02
2024-02-24,2392.477758062641,2904.8327093178627,2375.265573872815,2255.7001335645814,2862.955381075979,2816.018107975674,0.025093774634758592,0.0,2024,2,2024-02
2024-02-25,2412.861020547943,2904.8327093178627,2383.5484940665983,2275.0473240713786,2862.955381075979,2816.018107975674,0.008519729145489707,0.0,2024,2,2024-02
2024-02-26,2509.5280940065754,2901.3789895858645,2399.013738096633,2298.987733544208,2872.720182571445,2821.375964742913,0.04006325794789456,-0.0011889565002899394,2024,2,2024-02
2024-02-27,2570.469407872586,2910.593307999604,2417.446913331826,2324.642091570323,2876.7728927717976,2829.3591272089666,0.024283973553256732,0.0031758410213946764,2024,2,2024-02
2024-02-28,2747.223236712351,2890.1992125628185,2461.1392603548165,2356.551911675133,2877.1972371851384,2834.8534894322984,0.06876324934987377,-0.007006851620504073,2024,2,2024-02
